83 100 100 100 3
35 20 9 0 100
100 52 43 0 69
100 100 100 0 100
99 100 96 28 100
31 26 23 30 50
88 98 100 0 75
88 97 55 50 75
56 80 93 81 100
56 80 93 81 100
66 80 29 1 100
66 91 100 1 0
99 96 94 15 100
99 80 90 30 100
100 82 67 4 100
100 88 100 4 71
100 100 100 70 2
100 86 32 1 94
100 86 91 100 74
100 86 94 38 63
100 84 27 0 100
100 85 27 0 100
100 38 18 0 100
100 100 100 0 100
21 70 90 100 0
78 100 100 1 100
